Wavelength (nm),n,k
5014.54616587,3.2797424994,32.485090104
5118.79540566,3.4102707466,33.1426771747
5225.21192114,3.5460172918,33.8127033195
5333.8407686,3.687179317,34.4953564235
5444.72794102,3.8339605204,35.1908242194
5557.92038754,3.9865712557,35.8992940792
5673.46603336,4.1452286663,36.6209527927
5791.41379999,4.3101568164,37.3559863338
5911.81362602,4.4815868165,38.1045796133
6034.7164882,4.6597569423,38.8669162182
6160.17442306,4.8449127483,39.6431781381
6288.24054896,5.0373071719,40.4335454766
6418.96908852,5.23720063,41.2381961492
6552.41539166,5.4448611054,42.0573055671
6688.63595894,5.6605642219,42.8910463065
6827.68846557,5.884593308,43.7395877636
6969.63178576,6.117239447,44.603095795
7114.52601772,6.3588015123,45.481732345
7262.43250901,6.6095861876,46.3756550575
7413.41388261,6.8699079689,47.2850168756
7567.53406337,7.1400891485,48.209965627
7724.85830511,7.4204597789,49.1506435972
7885.45321822,7.7113576147,50.1071870902
8049.38679789,8.0131280315,51.0797259781
8216.72845289,8.3261239205,52.0683832401
8387.54903495,8.6507055566,53.0732744916
8561.92086874,8.9872404388,54.0945075055
8739.91778256,9.3361031008,55.1321817261
8921.61513952,9.6976748921,56.1863877775
9107.08986948,10.0723437251,57.2572069682
9296.42050165,10.4605037896,58.3447107935
9489.68719778,10.8625552319,59.4489604375
9686.97178616,11.2789037969,60.5700062781
9888.35779621,11.7099604336,61.7078873953
10093.9304939,12.1561408611,62.8626310875
10303.7769178,12.6178650954,64.0342523968
10517.985916,13.0955569356,65.222753648
10736.6481837,13.5896434094,66.428124002
10959.8563014,14.1005541777,67.6503390297
11187.7047746,14.6287208969,68.8893603073
11420.2900733,15.1745765412,70.1451350383
11657.7106731,15.738554683,71.4175957048
11900.0670968,16.3210887347,72.7066597524
12147.4619572,16.92261115,74.012229313
12400,17.5435525892,75.3341909676
