Wavelength (nm),n,k
383.9668579,2.46807456,0.0074727577
384.3240967,2.466694117,0.0072706458
384.6813354,2.465342283,0.0070823128
385.0385742,2.464001179,0.0068986518
385.395813,2.462661743,0.0067151138
385.7530823,2.461324453,0.0065317061
386.110321,2.459988594,0.0063484758
386.4675598,2.458668947,0.0061778789
386.8247986,2.457357407,0.0060134339
387.1820374,2.456048012,0.005849143
387.5393066,2.454740047,0.0056849383
387.8965454,2.453434229,0.0055208975
388.2537842,2.452147007,0.0053673843
388.6110229,2.450875521,0.0052224696
388.9682617,2.449605942,0.0050776866
389.325531,2.448337793,0.004932974
389.6827698,2.447071552,0.0047884244
390.0400085,2.445819855,0.0046512703
390.3972473,2.444591045,0.0045262203
390.7544861,2.443363428,0.004401261
391.1117554,2.442137718,0.0042763781
391.4689941,2.440913439,0.0041516218
391.8262329,2.439695597,0.0040300572
392.1834717,2.438502789,0.0039251894
392.540741,2.437311649,0.0038203951
392.8979797,2.436122179,0.0037157079
393.2552185,2.434934378,0.0036111078
393.6124573,2.433748007,0.0035065897
393.969696,2.43257308,0.003419948
394.3269653,2.431400776,0.0033356987
394.6842041,2.430230379,0.0032515314
395.0414429,2.429061174,0.0031674374
395.3986816,2.427893877,0.003083417
395.7559204,2.426743746,0.0030109668
396.1131897,2.425607681,0.002947571
396.4704285,2.424473524,0.0028842457
396.8276672,2.423340559,0.0028209726
397.184906,2.422209501,0.0027577584
397.5421448,2.421087265,0.0026984923
397.8994141,2.419998407,0.0026562957
398.2566528,2.418911457,0.0026141414
398.6138916,2.417825699,0.002572035
398.9711304,2.41674161,0.0025299594
399.3283691,2.415658951,0.0024879219
399.6856384,2.414605379,0.0024618127
400.0428772,2.413562059,0.0024407899
400.400116,2.41252017,0.0024197865
400.7573547,2.41147995,0.0023988034
401.1145935,2.410440922,0.0023778405
401.4718628,2.409414768,0.0023590599
401.8291016,2.408419371,0.0023459254
402.1863403,2.407425642,0.0023328045
402.5435791,2.406433105,0.0023196968
402.9008179,2.405441999,0.0023066013
403.2580872,2.404452324,0.0022935171
403.6153259,2.40348649,0.002280782
403.9725647,2.402530193,0.0022681765
404.3298035,2.401575327,0.0022555836
404.6870422,2.400621653,0.002243004
405.0443115,2.39966917,0.002230433
405.4015503,2.398724079,0.0022179433
405.7587891,2.39781189,0.0022058268
406.1160278,2.396901131,0.0021937229
406.4732666,2.395991564,0.002181629
406.8305359,2.395083189,0.0021695471
407.1877747,2.394176245,0.0021574777
407.5450134,2.393280745,0.0021456368
407.9022522,2.392397165,0.0021340169
408.259491,2.39151454,0.0021224064
408.6167603,2.390633106,0.0021108072
408.973999,2.389752865,0.0020992216
409.3312378,2.388874292,0.0020876471
409.6884766,2.388011932,0.0020764121
410.0457153,2.387154818,0.0020652695
410.4029846,2.386298656,0.0020541337
410.7602234,2.385444164,0.0020430123
411.1174622,2.384590626,0.0020319026
411.4747009,2.383738995,0.0020208233
411.8319397,2.382903814,0.0020101268
412.189209,2.382069826,0.001999439
412.5464478,2.381236792,0.0019887646
412.9036865,2.380405426,0.0019781014
413.2609253,2.379574776,0.0019674501
413.6181641,2.37875247,0.0019568929
413.9754333,2.377954721,0.0019466234
414.3326721,2.377157927,0.0019363657
414.6899109,2.376362324,0.0019261208
415.0471497,2.375568151,0.0019158858
415.4043884,2.374774694,0.0019056612
415.7616577,2.373987436,0.0018955743
416.1188965,2.373210192,0.0018857315
416.4761353,2.372433901,0.0018758987
416.833374,2.371658564,0.0018660763
417.1906128,2.370884418,0.0018562649
417.5478821,2.370111465,0.0018464613
417.9051208,2.369347811,0.0018368132
418.2623596,2.368596792,0.0018273718
418.6195984,2.367846489,0.0018179403
418.9768372,2.367097616,0.0018085199
419.3341064,2.366349697,0.0017991068
419.6913452,2.365602732,0.0017897062
420.048584,2.364861727,0.0017804565
420.4058228,2.364127874,0.0017714074
420.7630615,2.363394976,0.0017623684
421.1203308,2.362663031,0.0017533359
421.4775696,2.361932278,0.0017443163
421.8348083,2.361202717,0.0017353067
422.1920471,2.360485554,0.0017264143
422.5492859,2.35978961,0.0017177258
422.9065552,2.35909462,0.0017090443
423.2637939,2.358400583,0.0017003744
423.6210327,2.357707739,0.0016917142
423.9782715,2.357015848,0.0016830642
424.3355103,2.356326818,0.0016744959
424.6927795,2.355644941,0.0016661674
425.0500183,2.354964018,0.0016578488
425.4072571,2.354284048,0.0016495403
425.7644958,2.353605032,0.00164124
426.1217346,2.352927208,0.0016329503
426.4790039,2.352249861,0.0016246843
426.8362427,2.351569653,0.0016167132
427.1934814,2.350890636,0.001608749
427.5507202,2.350212097,0.0016007933
427.907959,2.349534988,0.0015928482
428.2652283,2.348858595,0.0015849093
428.622467,2.348183393,0.0015769812
428.9797058,2.347514391,0.0015692884
429.3369446,2.346848011,0.0015616568
429.6941833,2.346182108,0.0015540319
430.0514526,2.345517397,0.0015464155
430.4086914,2.34485364,0.0015388109
430.7659302,2.344190598,0.0015312108
431.1231689,2.343543053,0.0015237452
431.4804382,2.342910767,0.0015164164
431.837677,2.342279673,0.0015090969
432.1949158,2.341649294,0.0015017852
432.5521545,2.341019869,0.001494481
432.9093933,2.340391397,0.0014871857
433.2666626,2.339764357,0.0014799252
433.6239014,2.339143276,0.0014729025
433.9811401,2.338523149,0.0014658879
434.3383789,2.337903738,0.0014588807
434.6956177,2.33728528,0.0014518816
435.052887,2.336667776,0.0014448887
435.4101257,2.336050987,0.0014379056
435.7673645,2.335445404,0.0014310878
436.1246033,2.334845781,0.0014243589
436.481842,2.334247112,0.001417638
436.8391113,2.333649397,0.0014109233
437.1963501,2.333052397,0.0014042181
437.5535889,2.33245635,0.00139752
437.9108276,2.331861734,0.0013908618
438.2680664,2.33127141,0.001384414
438.6253357,2.330682039,0.0013779723
438.9825745,2.330093384,0.0013715392
439.3398132,2.329505682,0.0013651135
439.697052,2.328918934,0.001358695
440.0542908,2.328332901,0.0013522831
440.4115601,2.327759981,0.0013459974
440.7687988,2.32719779,0.0013398139
441.1260376,2.326636791,0.0013336387
441.4832764,2.326076269,0.0013274699
441.8405151,2.325516701,0.0013213088
442.1977844,2.324957848,0.0013151532
442.5550232,2.324399948,0.0013090069
442.912262,2.32384491,0.0013030599
443.2695007,2.323290825,0.0012971415
443.6267395,2.322737694,0.0012912316
443.9840088,2.322185278,0.0012853268
444.3412476,2.321633577,0.0012794287
444.6984863,2.321083069,0.0012735394
445.0557251,2.320534468,0.0012676874
445.4129639,2.319995165,0.001262014
445.7702332,2.3194561,0.0012563451
446.1274719,2.318918228,0.0012506844
446.4847107,2.318381071,0.0012450292
446.8419495,2.317844629,0.0012393807
447.1991882,2.317309141,0.0012337399
447.5564575,2.316774607,0.0012281734
447.9136963,2.316241741,0.0012227413
448.2709351,2.315709829,0.0012173178
448.6281738,2.315178871,0.0012118996
448.9854126,2.31464839,0.0012064881
449.3426819,2.314118624,0.0012010806
449.6999207,2.313589573,0.001195681
450.0571594,2.313071012,0.0011903719
450.4143982,2.312564135,0.0011851639
450.771637,2.312057972,0.0011799622
451.1289063,2.311552525,0.0011747656
451.486145,2.311047792,0.001169576
451.8433838,2.310543776,0.001164392
452.2006226,2.310040474,0.0011592143
452.5578613,2.309538603,0.0011541346
452.9151306,2.309038401,0.0011491494
453.2723694,2.308538914,0.0011441704
453.6296082,2.308039904,0.0011391971
453.9868469,2.307541847,0.0011342297
454.3440857,2.307044506,0.0011292679
454.701355,2.30654788,0.0011243105
455.0585938,2.306057453,0.00111944
455.4158325,2.305574179,0.0011146638
455.7730713,2.305091858,0.001109893
456.1303101,2.304609776,0.0011051258
456.4875793,2.304128647,0.0011003652
456.8448181,2.303647995,0.0010956108
457.2020569,2.303168297,0.0010908613
457.5592957,2.302689314,0.0010861782
457.9165344,2.302211761,0.0010816051
458.2738037,2.301734686,0.0010770368
458.6310425,2.301258564,0.0010724756
458.9882813,2.300782681,0.0010679186
459.34552,2.300307989,0.0010633678
459.7027588,2.299833536,0.0010588215
460.0600281,2.299363375,0.0010543038
460.4172668,2.298910856,0.0010499177
460.7745056,2.298459291,0.0010455375
461.1317444,2.298008442,0.0010411622
461.4889832,2.297557831,0.001036791
461.8462524,2.297107935,0.0010324245
462.2034912,2.296658754,0.0010280638
462.56073,2.296210051,0.0010237083
462.9179688,2.295761824,0.0010194933
463.2752075,2.295314312,0.0010152999
463.6324768,2.294867516,0.001011111
463.9897156,2.294421196,0.0010069266
464.3469543,2.293975353,0.0010027478
464.7041931,2.293530464,0.0009985745
465.0614319,2.293085814,0.0009944047
465.4187012,2.292643547,0.0009903169
465.7759399,2.29220295,0.0009863012
466.1331787,2.291763067,0.0009822899
466.4904175,2.291323662,0.0009782839
466.8476563,2.29088521,0.0009742822
467.2049255,2.290447235,0.000970285
467.5621643,2.290009499,0.0009662926
467.9194031,2.289572716,0.0009623171
468.2766418,2.289135933,0.0009584734
468.6338806,2.288699627,0.0009546336
468.9911499,2.288263798,0.0009507973
469.3483887,2.287829161,0.0009469673
469.7056274,2.287394762,0.0009431407
470.0628662,2.28696084,0.0009393187
470.420105,2.286527872,0.0009355016
470.7773743,2.28610611,0.0009317581
471.134613,2.285693407,0.0009280737
471.4918518,2.285281181,0.0009243941
471.8490906,2.284869671,0.0009207191
472.2063599,2.284458637,0.0009170471
472.5635986,2.28404808,0.0009133808
472.9208374,2.283638477,0.0009097176
473.2780762,2.283228874,0.0009060591
473.6353149,2.28281951,0.0009025266
473.9925842,2.282410622,0.0008990031
474.349823,2.282002211,0.0008954845
474.7070618,2.281594276,0.0008919699
475.0643005,2.281187057,0.0008884588
475.4215393,2.280780315,0.0008849526
475.7788086,2.280374289,0.0008814494
476.1360474,2.279971123,0.0008779806
476.4932861,2.279576778,0.0008746035
476.8505249,2.279182673,0.0008712301
477.2077637,2.278789282,0.0008678602
477.565033,2.278396368,0.0008644949
477.9222717,2.278004169,0.0008611334
478.2795105,2.277612209,0.0008577754
478.6367493,2.277221203,0.0008544213
478.993988,2.27682972,0.0008511244
479.3512573,2.276438475,0.0008478952
479.7084961,2.276047468,0.0008446684
480.0657349,2.275656939,0.0008414466
480.4229736,2.275267124,0.0008382288
480.7802124,2.274878025,0.0008350137
481.1374817,2.274488926,0.000831802
481.4947205,2.27410078,0.0008285947
481.8519592,2.273722649,0.0008254508
482.209198,2.273352385,0.0008223554
482.5664368,2.272982597,0.0008192636
482.9237061,2.272613287,0.000816175
483.2809448,2.272244453,0.0008130904
483.6381836,2.271876097,0.0008100092
483.9954224,2.271508455,0.0008069312
484.3526611,2.271141291,0.0008038578
484.7099304,2.270773172,0.0008008512
485.0671692,2.270404816,0.0007978903
485.424408,2.270036936,0.0007949335
485.7816467,2.269669533,0.0007919802
486.1388855,2.269302607,0.0007890306
486.4961548,2.268936396,0.0007860829
486.8533936,2.268570423,0.0007831401
487.2106323,2.268204927,0.0007802001
487.5678711,2.267843723,0.0007773153
487.9251099,2.267485857,0.0007744816
488.2823792,2.267128706,0.0007716498
488.6396179,2.266772032,0.0007688226
488.9968567,2.266415596,0.0007659981
489.3540955,2.266059875,0.0007631769
489.7113342,2.265704632,0.0007603593
490.0686035,2.265349865,0.000757544
490.4258423,2.264994621,0.0007547677
490.7830811,2.264638186,0.0007520563
491.1403198,2.264282465,0.0007493489
491.4975586,2.263927221,0.0007466448
491.8548279,2.263572454,0.0007439433
492.2120667,2.263218164,0.0007412442
492.5693054,2.262864113,0.0007385491
492.9265442,2.262510777,0.0007358571
493.283783,2.262159348,0.0007331757
493.6410522,2.261822701,0.0007305766
493.998291,2.26148653,0.0007279807
494.3555298,2.261151075,0.0007253888
494.7127686,2.260815859,0.0007227986
495.0700073,2.260481358,0.0007202124
495.4272766,2.260147095,0.0007176279
495.7845154,2.259813309,0.0007150472
496.1417542,2.259479761,0.0007124693
496.4989929,2.259145498,0.0007099585
496.8562317,2.258810997,0.0007074759
497.213501,2.258476973,0.0007049948
497.5707397,2.258143187,0.0007025177
497.9279785,2.257810116,0.0007000435
498.2852173,2.257477283,0.0006975721
498.6424561,2.257144928,0.0006951028
498.9997253,2.256813049,0.0006926366
499.3569641,2.256484032,0.0006901932
499.7142029,2.256162405,0.0006878146
500.0714417,2.255841494,0.0006854386
500.4286804,2.255520821,0.0006830654
500.7859497,2.255200624,0.0006806944
501.1431885,2.254880667,0.0006783266
501.5004272,2.254561424,0.0006759612
501.857666,2.254242182,0.0006735989
502.2149048,2.253923893,0.0006712391
502.5721741,2.253603935,0.0006689357
502.9294128,2.253283739,0.0006666633
503.2866516,2.252964258,0.0006643925
503.6438904,2.252644777,0.0006621244
504.0011292,2.252326012,0.0006598587
504.3583984,2.252007484,0.0006575956
504.7156372,2.251689672,0.0006553358
505.072876,2.251371861,0.0006530781
505.4301147,2.251054764,0.0006508231
505.7873535,2.25075531,0.0006486422
506.1446228,2.250456333,0.0006464638
506.5018616,2.250157833,0.0006442881
506.8591003,2.249859571,0.0006421157
507.2163391,2.249561787,0.0006399447
507.5735779,2.249264479,0.0006377765
507.9308472,2.248967409,0.0006356108
508.2880859,2.248670816,0.000633448
508.6453247,2.248373985,0.0006313027
509.0025635,2.248075008,0.0006292186
509.3598022,2.247776508,0.0006271379
509.7170715,2.247478247,0.0006250586
510.0743103,2.247180462,0.000622982
510.4315491,2.246882915,0.0006209078
510.7887878,2.246585846,0.0006188364
511.1460266,2.246289492,0.0006167665
511.5032959,2.245993137,0.0006146993
511.8605347,2.245696783,0.0006126564
512.2177734,2.245399475,0.0006106644
512.5750122,2.245102882,0.0006086751
512.932251,2.244806528,0.0006066877
513.2894897,2.244510651,0.000604703
513.6467285,2.244215012,0.00060272
514.0040283,2.243919849,0.000600739
514.3612671,2.243625164,0.000598761
514.7185059,2.243330717,0.0005967849
