Wavelength (nm),n,k
588.8778,1.9440744,-1.83E-012
590.47363,1.9435613,-1.92E-012
592.06946,1.9430544,2.02E-012
593.66516,1.9425535,-2.75E-012
595.26086,1.9420586,-2.03E-012
596.8565,1.9415694,-1.07E-012
598.45215,1.941086,1.17E-012
600.0477,1.9406083,2.91E-012
601.64325,1.9401361,-8.61E-013
603.2388,1.9396694,-6.39E-014
604.8342,1.9392079,-2.30E-012
606.4296,1.9387518,-7.73E-013
608.025,1.9383008,8.50E-014
609.6204,1.937855,-2.25E-012
611.2157,1.9374142,7.16E-014
612.811,1.9369782,-2.32E-012
614.4062,1.9365472,-3.32E-012
616.0014,1.9361207,-1.51E-012
617.59656,1.9356992,-1.52E-012
619.19165,1.9352822,-3.38E-012
620.78674,1.9348698,4.94E-012
622.3817,1.9344617,5.13E-012
623.9767,1.9340582,-1.02E-012
625.57166,1.933659,4.26E-012
627.16656,1.9332639,-9.59E-013
628.76135,1.9328731,-2.68E-012
630.3562,1.9324864,1.07E-012
631.9509,1.9321039,1.75E-012
633.54565,1.9317253,7.87E-014
635.1403,1.9313507,-1.67E-012
636.7349,1.93098,-2.96E-012
638.32947,1.930613,-4.89E-015
639.924,1.9302499,-1.74E-012
641.5185,1.9298905,-4.13E-012
643.1129,1.9295347,-2.95E-012
644.70734,1.9291825,-1.04E-014
646.30164,1.928834,3.18E-012
647.89594,1.9284889,7.88E-014
649.4902,1.9281473,-9.51E-014
651.08435,1.927809,3.22E-012
652.6785,1.9274741,-3.34E-012
654.2726,1.9271426,-3.47E-012
655.86664,1.9268143,-3.41E-012
657.46063,1.9264892,6.83E-012
659.05457,1.9261674,8.74E-014
660.6485,1.9258485,-2.67E-017
662.2423,1.9255328,4.86E-012
663.83606,1.9252201,-3.64E-012
665.4298,1.9249104,-3.57E-012
667.0235,1.9246037,1.33E-012
668.61707,1.9243,2.42E-012
670.2107,1.9239991,-9.68E-014
671.8042,1.9237009,-6.13E-012
673.39764,1.9234056,3.97E-012
674.9911,1.9231131,-1.80E-013
676.5844,1.9228233,-1.39E-012
678.17773,1.9225363,1.29E-012
679.77094,1.9222518,2.63E-012
681.36414,1.92197,-2.76E-012
682.9573,1.9216907,-5.87E-015
684.55035,1.921414,-1.34E-012
686.1434,1.9211398,-9.45E-012
687.73627,1.9208682,4.16E-012
689.3292,1.9205989,-1.40E-012
690.922,1.9203321,-1.38E-012
692.5148,1.9200675,9.79E-014
694.10754,1.9198055,-2.82E-012
695.7002,1.9195458,4.48E-012
697.2928,1.9192884,9.96E-014
698.8854,1.9190332,4.37E-012
700.47784,1.9187802,-1.01E-013
702.0702,1.9185295,4.46E-012
703.6626,1.918281,-6.16E-012
705.2549,1.9180347,3.14E-012
706.8471,1.9177904,-9.09E-014
708.43933,1.9175483,-3.11E-012
710.0314,1.9173082,1.53E-012
711.6234,1.9170703,-1.10E-013
713.21545,1.9168344,5.05E-012
714.8073,1.9166003,3.25E-012
716.39923,1.9163684,4.85E-012
717.99097,1.9161384,-1.79E-012
719.5827,1.9159104,6.90E-012
721.1744,1.9156842,4.99E-012
722.766,1.91546,-5.23E-012
724.3575,1.9152375,-5.38E-012
725.9489,1.915017,-3.38E-012
727.54034,1.9147983,7.12E-012
729.13165,1.9145814,5.53E-012
730.7229,1.9143662,6.55E-015
732.3141,1.9141529,1.05E-013
733.9052,1.9139413,-1.09E-011
735.4963,1.9137313,-5.71E-012
737.0873,1.9135232,5.64E-012
738.67816,1.9133166,3.87E-012
740.269,1.9131118,-5.85E-012
741.85974,1.9129086,1.76E-012
743.4505,1.912707,7.69E-012
745.04114,1.912507,1.08E-013
746.6317,1.9123086,7.69E-012
748.22217,1.9121118,-1.67E-012
749.8126,1.9119165,-7.71E-012
751.40295,1.9117228,-6.08E-012
752.9932,1.9115306,-3.95E-012
754.5834,1.9113399,-7.99E-012
756.1735,1.9111507,6.10E-012
757.76355,1.9109629,8.00E-012
759.3536,1.9107766,6.28E-015
760.9435,1.9105918,-5.80E-015
762.53326,1.9104084,-6.17E-012
764.123,1.9102263,-6.32E-015
765.7127,1.9100457,-2.03E-012
767.3023,1.9098666,6.31E-012
768.8918,1.9096886,-2.24E-016
770.48126,1.9095122,-6.64E-012
772.0706,1.9093369,-6.82E-012
773.6599,1.9091631,-6.75E-012
775.24915,1.9089905,3.94E-012
776.83826,1.9088192,-1.34E-011
778.4273,1.9086492,9.56E-012
780.0163,1.9084805,-2.56E-012
781.60516,1.908313,1.17E-011
783.194,1.9081467,2.09E-011
784.7828,1.9079818,6.95E-012
786.3714,1.907818,4.96E-012
787.95996,1.9076554,-2.07E-012
789.54846,1.907494,-2.20E-012
791.13684,1.9073337,2.41E-013
792.7252,1.9071747,-1.44E-011
794.3135,1.9070168,9.34E-012
795.9016,1.90686,2.09E-012
797.4897,1.9067044,-6.54E-015
799.0777,1.9065499,7.39E-012
800.66565,1.9063965,3.03E-012
802.2534,1.9062442,9.65E-012
803.8412,1.906093,-5.37E-012
805.42883,1.9059428,-1.07E-011
807.0164,1.9057938,-7.64E-012
808.6039,1.9056457,-2.51E-016
810.1913,1.9054987,2.47E-012
811.7786,1.9053528,-8.05E-012
813.36584,1.9052079,-7.83E-012
814.953,1.905064,8.01E-012
816.54004,1.904921,6.70E-015
818.127,1.9047792,2.75E-013
819.71387,1.9046383,-8.16E-012
821.30066,1.9044983,-8.07E-012
822.8874,1.9043593,1.03E-011
824.474,1.9042213,-1.36E-013
826.06055,1.9040842,-2.79E-016
827.647,1.9039481,-1.40E-011
829.2333,1.9038129,-1.37E-013
830.8195,1.9036785,8.37E-012
832.40564,1.9035451,6.08E-012
833.9918,1.9034127,5.96E-012
835.57776,1.9032811,8.51E-012
837.1636,1.9031504,8.43E-012
838.7494,1.9030206,-6.07E-012
840.3351,1.9028916,8.51E-012
841.9207,1.9027635,0
843.5062,1.9026363,-2.71E-012
845.0916,1.9025099,8.95E-012
846.67694,1.9023844,-3.83E-012
848.2622,1.9022597,-1.49E-013
849.8473,1.9021357,2.76E-012
851.4323,1.9020127,-2.62E-012
853.0173,1.9018904,-1.43E-013
854.6022,1.9017689,1.57E-011
856.1868,1.9016483,-2.51E-012
857.7715,1.9015284,-9.21E-012
859.3561,1.9014093,-9.26E-012
860.94055,1.9012909,2.54E-012
862.5249,1.9011734,9.22E-012
864.1091,1.9010565,2.15E-011
865.69324,1.9009405,1.39E-013
867.27734,1.9008251,-6.78E-012
868.8613,1.9007106,-1.24E-011
870.4451,1.9005967,-1.38E-014
872.02893,1.9004836,7.04E-012
873.6126,1.9003712,-9.85E-012
875.1961,1.9002596,-2.63E-012
876.7796,1.9001486,0
878.3629,1.9000382,1.02E-011
879.94617,1.8999287,4.58E-012
881.5293,1.8998199,9.96E-012
883.1123,1.8997116,1.27E-011
884.6953,1.8996041,1.28E-011
886.27814,1.8994972,1.75E-011
887.86084,1.899391,1.30E-013
889.4435,1.8992854,-1.52E-013
891.026,1.8991805,-1.39E-013
892.6084,1.8990763,-7.56E-012
894.19073,1.8989727,1.32E-013
895.77295,1.8988698,1.79E-011
897.3551,1.8987675,-1.47E-013
898.937,1.8986658,7.58E-012
900.5189,1.8985647,1.41E-013
902.1007,1.8984642,1.05E-011
903.6823,1.8983643,2.97E-012
905.264,1.8982651,-2.67E-012
906.8454,1.8981664,1.39E-011
908.42676,1.8980683,-1.10E-011
910.00793,1.8979709,-3.07E-013
911.58905,1.897874,2.86E-012
913.1701,1.8977777,1.08E-011
914.751,1.8976821,1.12E-011
916.3317,1.8975868,1.43E-011
917.9125,1.8974923,1.62E-011
919.49304,1.8973982,-7.57E-015
921.07355,1.8973048,1.10E-011
922.6538,1.8972119,1.45E-013
924.2341,1.8971195,-5.26E-012
925.81415,1.8970277,1.14E-011
927.3942,1.8969364,8.10E-012
928.9741,1.8968457,-2.98E-012
930.5539,1.8967555,-1.48E-014
932.1335,1.8966658,3.16E-012
933.7131,1.8965766,-2.00E-011
935.2925,1.896488,7.40E-015
936.8719,1.8963999,1.70E-013
938.45105,1.8963122,1.63E-013
940.0301,1.8962251,-2.70E-011
941.6091,1.8961385,2.40E-011
943.188,1.8960524,-1.57E-013
944.7667,1.8959668,1.58E-013
946.34534,1.8958817,0
947.9238,1.895797,7.21E-015
949.50214,1.8957129,-1.52E-011
951.08044,1.8956292,1.23E-011
952.65857,1.895546,-7.99E-015
954.23663,1.8954632,-3.12E-012
955.8146,1.895381,1.23E-011
957.3923,1.8952992,3.33E-012
958.9699,1.8952178,-3.36E-013
960.5475,1.895137,-1.61E-013
962.1249,1.8950565,1.27E-011
963.7023,1.8949765,-9.17E-012
965.2794,1.894897,1.77E-013
966.85645,1.894818,-1.27E-011
968.4334,1.8947393,-1.51E-014
970.01013,1.8946611,1.29E-011
971.5868,1.8945832,1.26E-011
973.1634,1.8945059,9.76E-012
974.73987,1.894429,1.29E-011
976.3161,1.8943524,-7.60E-015
977.8923,1.8942764,3.47E-012
979.4684,1.8942007,-3.46E-012
981.0443,1.8941255,-3.88E-023
982.6201,1.8940506,3.65E-012
984.1958,1.8939762,1.34E-011
985.77136,1.8939022,-3.50E-012
987.3468,1.8938285,1.33E-011
988.92206,1.8937553,1.74E-013
990.49725,1.8936825,-1.69E-011
992.07227,1.8936101,7.08E-012
993.64716,1.893538,3.56E-012
995.222,1.8934664,-3.51E-013
996.7967,1.8933951,2.76E-017
998.3712,1.8933241,-1.84E-013
999.9455,1.8932537,-1.02E-011
1011.69275,1.892739,1.42E-011
1015.112,1.8925929,-1.47E-011
1018.53125,1.8924485,-1.44E-011
1021.9505,1.8923056,-1.45E-011
1025.3698,1.8921643,1.74E-013
1028.789,1.8920248,1.46E-011
1032.2083,1.8918865,-1.67E-013
1035.6274,1.8917499,-1.87E-011
1039.0466,1.8916147,3.81E-012
1042.466,1.8914809,-1.50E-011
1045.8853,1.8913487,-1.53E-011
1049.3044,1.8912178,-3.88E-012
1052.7238,1.8910884,3.91E-012
1056.1431,1.8909603,3.74E-012
1059.5623,1.8908336,3.95E-012
1062.9817,1.8907083,-2.53E-016
1066.401,1.8905842,1.89E-013
1069.8203,1.8904616,-1.96E-011
1073.2396,1.8903401,2.82E-011
1076.6589,1.8902199,1.18E-011
1080.0784,1.890101,1.61E-011
1083.4978,1.8899833,1.23E-011
1086.9172,1.8898668,1.24E-011
1090.3368,1.8897514,-1.64E-011
1093.7562,1.8896374,-2.02E-013
1097.1758,1.8895245,-3.77E-012
1100.5955,1.8894126,1.25E-011
1104.015,1.8893019,-1.30E-011
1107.4347,1.8891923,-1.27E-011
1110.8542,1.8890839,1.97E-013
1114.274,1.8889766,-2.14E-011
1117.6937,1.8888702,-3.89E-011
1121.1135,1.888765,-4.06E-013
